id,code,description
l10n_py_affectation_1,1,IVA
l10n_py_affectation_2,2,ISC
l10n_py_affectation_3,3,Renta
l10n_py_affectation_4,4,Ninguno
l10n_py_affectation_5,5,IVA - Renta
