id,code,description
l10n_py_r001,1,Régimen de Turismo
l10n_py_r002,2,Importador
l10n_py_r003,3,Exportador
l10n_py_r004,4,Maquila
l10n_py_r005,5,Ley N° 60/90
l10n_py_r006,6,Régimen del Pequeño Productor
l10n_py_r007,7,Régimen del Mediano Productor
l10n_py_r008,8,Régimen Contable
